model,m,selection,session,task,kind,classes_seen,new_classes,accuracy,balanced_accuracy,f1_macro,f1_weighted,G_Mean,n,HR@1,MRR@1,HR@3,MRR@3,HR@5,MRR@5,RMSE_dr,MAE_dr,n_dr,RPD,minutes
resnet18,1,herding,0,T1_APTOS,base,5,No DR;Mild DR;Moderate DR;Severe DR;Proliferative DR,0.7726218097447796,0.5955544459639837,0.6112160384045494,0.7658432006837729,0.5562018043986297,431,0.7726218097447796,0.7726218097447796,0.9791183294663574,0.8658159319412219,1.0,0.8709203402938902,0.791486017570292,0.3433874709976798,431,0.0,3.44
resnet18,1,herding,1,T2_ODIR,class-incremental,6,Normal,0.6436170212765957,0.2351243077648167,0.2256499745598951,0.5304771842793374,0.0,1128,0.6436170212765957,0.6436170212765957,0.9335106382978724,0.7761524822695035,1.0,0.791755319148936,1.1906811155751744,0.8607594936708861,79,0.9129129129129128,0.82
resnet18,1,herding,2,T2_ODIR,class-incremental,7,Glaucoma,0.2252510760401721,0.2806990068389856,0.207175008051703,0.1098039096964761,0.0,1394,0.2252510760401721,0.2252510760401721,0.832855093256815,0.5143472022955524,0.9519368723098997,0.5410688665710186,1.3251783128981585,0.959349593495935,123,0.927927927927928,0.59
resnet18,1,herding,3,T2_ODIR,class-incremental,8,Cataract,0.0764951321279554,0.2404811845541682,0.1456122587115955,0.0616345006366363,0.0,1438,0.0764951321279554,0.0764951321279554,0.7169680111265647,0.3510662957811775,0.9346314325452016,0.4015878535002318,1.2260782902638026,0.8496732026143791,153,0.9344566948584164,0.59
resnet18,1,herding,4,T2_ODIR,class-incremental,9,AMD,0.0372376438727149,0.1497573081613378,0.0638929450452211,0.0186706511615968,0.0,1477,0.0372376438727149,0.0372376438727149,0.5125253893026405,0.2508463100880162,0.7109004739336493,0.2956330399458362,1.4739110533215525,1.1724137931034482,58,0.9731947856947858,0.53
resnet18,1,herding,5,T2_ODIR,class-incremental,10,Hypertension,0.0376344086021505,0.2065411578471279,0.0433615128321867,0.02596742866492,0.0,1488,0.0376344086021505,0.0376344086021505,0.2016129032258064,0.1120071684587813,0.3844086021505376,0.1511872759856631,1.203375754927433,1.0141509433962264,212,0.9571935571935573,0.48
resnet18,1,herding,6,T2_ODIR,class-incremental,11,Myopia,0.0406290956749672,0.1282656897715222,0.0542826146254402,0.0242134034512033,0.0,1526,0.0406290956749672,0.0406290956749672,0.2385321100917431,0.1249453910004368,0.5753604193971167,0.2021734381826125,1.224744871391589,0.9210526315789472,76,0.987987987987988,0.51
resnet18,1,herding,7,T2_ODIR,class-incremental,12,Other,0.0897435897435897,0.1514397238953526,0.0819677075245959,0.0359449673070864,0.0,1638,0.0897435897435897,0.0897435897435897,0.5213675213675214,0.2553927553927553,0.7545787545787546,0.3097273097273098,1.2230283395439907,0.9411764705882352,119,0.9816545869177448,0.76
resnet18,1,herding,8,T3_LAG,domain-incremental,12,,0.5482295482295483,0.2439152584535267,0.2396403659540615,0.4678688559405425,0.0,1638,0.5482295482295483,0.5482295482295483,0.7673992673992674,0.6454008954008953,0.8650793650793651,0.6681725681725682,1.3273676061682242,1.0,126,0.7201605976200337,2.06
resnet18,1,herding,9,T4_HAM,class-incremental,13,Actinic Keratoses,0.5364552459988144,0.4419045895380784,0.408176811034763,0.5509272538317264,0.3295270655023015,1687,0.5364552459988144,0.5364552459988144,0.7907528156490812,0.6478956727919384,0.8873740367516301,0.6700652045050386,0.9117704213259056,0.5582329317269076,249,0.52954780968071,0.68
resnet18,1,herding,10,T4_HAM,class-incremental,14,Basal Cell Carcinoma,0.5153061224489796,0.4260069294374669,0.3659964336606857,0.5183239852935863,0.0,1764,0.5153061224489796,0.5153061224489796,0.8095238095238095,0.6463529856386998,0.903061224489796,0.6676965230536659,0.9927271762054324,0.6159420289855072,276,0.56855287340421,0.77
resnet18,1,herding,11,T4_HAM,class-incremental,15,Benign Keratosis,0.4989626556016597,0.3975199467973367,0.3332800975993565,0.4875305506103032,0.0,1928,0.4989626556016597,0.4989626556016597,0.7899377593360996,0.628198478561549,0.8947095435684648,0.6522648686030429,0.9946666286387916,0.6063829787234043,282,0.6191470709189333,1.1
resnet18,1,herding,12,T4_HAM,class-incremental,16,Dermatofibroma,0.387146529562982,0.3370376907253758,0.2583516631454542,0.408040299880275,0.0,1945,0.387146529562982,0.387146529562982,0.7218508997429306,0.5356469580119966,0.8267352185089974,0.5590916880891175,0.92973478995949,0.5028248587570622,177,0.659062849485384,0.65
resnet18,1,herding,13,T4_HAM,class-incremental,17,Melanocytic Nevi,0.6038316797810469,0.3561220857485497,0.3055608865234417,0.5632862255092115,0.0,2923,0.6038316797810469,0.6038316797810469,0.7759151556619911,0.679609989736572,0.8569962367430722,0.6980841601094766,1.0220498947023802,0.6114649681528662,314,0.6698711242009878,4.45
resnet18,1,herding,14,T4_HAM,class-incremental,18,Melanoma,0.318108195659216,0.3483414942782562,0.2625303393075273,0.2966126584015478,0.0,3087,0.318108195659216,0.318108195659216,0.7732426303854876,0.5362271892884137,0.8328474246841594,0.549848828420257,0.9831353843426084,0.5719063545150501,299,0.6772046829222134,1.36
resnet18,1,herding,15,T4_HAM,class-incremental,19,Vascular Lesions,0.238095238095238,0.2675502338059064,0.2087651099353667,0.223963763792912,0.0,3108,0.238095238095238,0.238095238095238,0.637065637065637,0.3971471471471471,0.8333333333333334,0.4439135564135564,1.216928934052581,0.8396946564885496,131,0.7380857555504539,0.81
resnet18,5,herding,0,T1_APTOS,base,5,No DR;Mild DR;Moderate DR;Severe DR;Proliferative DR,0.777262180974478,0.5925357378080507,0.6192177310821478,0.7644479532511594,0.5487530768507519,431,0.777262180974478,0.777262180974478,0.9814385150812064,0.8658159319412219,1.0,0.8704563031709203,0.795871015211528,0.3410672853828306,431,0.0,0.48
resnet18,5,herding,1,T2_ODIR,class-incremental,6,Normal,0.74822695035461,0.4995157777636361,0.4848601673949189,0.7174643082115986,0.433564425838862,1128,0.74822695035461,0.74822695035461,0.9698581560283688,0.850177304964539,0.9911347517730495,0.8552748226950354,0.8939869117751092,0.515748031496063,254,0.5462686567164179,0.58
