task,idx,class,train,val,test,total
T1_APTOS,0,No DR,936,200,201,1337
T1_APTOS,1,Mild DR,216,46,46,308
T1_APTOS,2,Moderate DR,571,122,123,816
T1_APTOS,3,Severe DR,113,25,24,162
T1_APTOS,4,Proliferative DR,172,37,37,246
T2_ODIR,5,Normal,1300,278,279,1857
T2_ODIR,6,Glaucoma,225,48,49,322
T2_ODIR,7,Cataract,205,44,44,293
T2_ODIR,8,AMD,182,39,39,260
T2_ODIR,9,Hypertension,52,11,11,74
T2_ODIR,10,Myopia,178,39,38,255
T2_ODIR,11,Other,522,112,112,746
T3_LAG,5,Normal,1951,419,418,2788
T3_LAG,6,Glaucoma,1010,216,217,1443
T4_HAM,12,Actinic Keratoses,228,49,49,326
T4_HAM,13,Basal Cell Carcinoma,359,77,77,513
T4_HAM,14,Benign Keratosis,766,164,164,1094
T4_HAM,15,Dermatofibroma,79,17,17,113
T4_HAM,16,Melanocytic Nevi,4564,978,978,6520
T4_HAM,17,Melanoma,764,164,164,1092
T4_HAM,18,Vascular Lesions,95,20,21,136
