removed_task,removed_path,removed_label,kept_task,kept_path,kept_label,hamming
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e6a6acf7fca1.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e52ed5c29c5e.png,Severe DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ed6bd9293a89.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ebf4b22240f4.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ef7eb85b75fc.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e632e38fd2d4.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ef99c499d665.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ec6f1797a25a.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f09cfc6a4dbd.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ec6f1797a25a.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f23902998c21.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e8d1c6c07cf2.png,Severe DR,0
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f26b02ead915.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/eebd1e195952.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f580566e27f5.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ed2c52c14493.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f5c953bee7cd.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ea9c41e1ced0.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f64b6e85f1c9.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e66ad813a508.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f819c65b803c.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ef8c39eb9157.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fa9f1bc03f21.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ef4121e9bb67.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fc1b1841eadf.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f2ee81781411.png,Moderate DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fc603cbedb41.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ed88faaa325a.png,Moderate DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fd0a70082e7c.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/e7291472109b.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fd87b6b2e664.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f252046c0fe6.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/fed5bb685832.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f00ce9b9d6f4.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ff1e940105f9.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f366fb1cc475.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ff344e5c9341.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f9ecf1795804.png,Moderate DR,2
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ff52392372d3.png,Moderate DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/f1a761c68559.png,Moderate DR,0
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ff631653374e.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ec6f1797a25a.png,No DR,4
T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ffd97f8cd5aa.png,No DR,T1_APTOS,/kaggle/input/datasets/mariaherrerot/aptos2019/test_images/test_images/ebf4b22240f4.png,No DR,2
