dataset,n_classes,model,ours_independent,ours_after_continual,continual_minus_independent
APTOS 2019,5,resnet18,0.7796,0.6311,-0.1485
APTOS 2019,5,resnet50,0.7703,0.4733,-0.297
APTOS 2019,5,resnet101,0.7889,0.4223,-0.3666
APTOS 2019,5,resnet152,0.7749,0.6218,-0.1531
APTOS 2019,5,vgg11,0.7517,0.478,-0.2738
APTOS 2019,5,vgg16,0.7193,0.645,-0.0742
APTOS 2019,5,vgg19,0.7239,0.5824,-0.1415
APTOS 2019,5,alexnet,0.7355,0.6705,-0.065
APTOS 2019,5,googlenet,0.7842,0.6566,-0.1276
APTOS 2019,5,swin_tiny,0.8306,0.5012,-0.3295
APTOS 2019,5,coatnet_0,0.8074,0.5452,-0.2622
APTOS 2019,5,kan,0.7703,0.6636,-0.1067
ODIR-5K,7,resnet18,0.6101,0.6084,-0.0017
ODIR-5K,7,resnet50,0.6276,0.5822,-0.0455
ODIR-5K,7,resnet101,0.5962,0.549,-0.0472
ODIR-5K,7,resnet152,0.6049,0.5402,-0.0647
ODIR-5K,7,vgg11,0.5909,0.549,-0.042
ODIR-5K,7,vgg16,0.5804,0.4056,-0.1748
ODIR-5K,7,vgg19,0.5944,0.5122,-0.0822
ODIR-5K,7,alexnet,0.5822,0.5315,-0.0507
ODIR-5K,7,googlenet,0.6014,0.5524,-0.049
ODIR-5K,7,swin_tiny,0.6329,0.6136,-0.0192
ODIR-5K,7,coatnet_0,0.6329,0.5245,-0.1084
ODIR-5K,7,kan,0.6119,0.5734,-0.0385
LAG,2,resnet18,0.9512,0.9339,-0.0173
LAG,2,resnet50,0.9465,0.8898,-0.0567
LAG,2,resnet101,0.9354,0.8945,-0.0409
LAG,2,resnet152,0.9465,0.9071,-0.0394
LAG,2,vgg11,0.8378,0.8063,-0.0315
LAG,2,vgg16,0.789,0.778,-0.011
LAG,2,vgg19,0.8315,0.7559,-0.0756
LAG,2,alexnet,0.8315,0.7858,-0.0457
LAG,2,googlenet,0.9354,0.8709,-0.0646
LAG,2,swin_tiny,0.9654,0.9354,-0.0299
LAG,2,coatnet_0,0.9543,0.9102,-0.0441
LAG,2,kan,0.9528,0.9276,-0.0252
HAM10000,7,resnet18,0.8442,0.8429,-0.0014
HAM10000,7,resnet50,0.8429,0.832,-0.0109
HAM10000,7,resnet101,0.8442,0.8238,-0.0204
HAM10000,7,resnet152,0.8306,0.8381,0.0075
HAM10000,7,vgg11,0.7537,0.7524,-0.0014
HAM10000,7,vgg16,0.7374,0.7265,-0.0109
HAM10000,7,vgg19,0.7272,0.7163,-0.0109
HAM10000,7,alexnet,0.7456,0.7449,-0.0007
HAM10000,7,googlenet,0.7986,0.7898,-0.0088
HAM10000,7,swin_tiny,0.8619,0.8456,-0.0163
HAM10000,7,coatnet_0,0.8347,0.8116,-0.0231
HAM10000,7,kan,0.8463,0.8524,0.0061
